edge_id,u,v,key,u_lat,u_lon,v_lat,v_lon,length_m,max_speed_kph,travel_time_s,name,highway,oneway,lanes,ref,bridge,tunnel,access,closed,traffic_mult,max_height_m,max_weight_tons
314397616_314397609_0,314397616,314397609,0,-23.8897126,29.4805951,-23.8895575,29.4798186,80.80759082200866,30.0,9.69691089864104,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397616_314397916_0,314397616,314397916,0,-23.8897126,29.4805951,-23.8877941,29.4804536,237.65840577119542,30.0,28.51900869254345,Greef Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397616_314397617_0,314397616,314397617,0,-23.8897126,29.4805951,-23.8899579,29.4816899,114.6101031581465,30.0,13.75321237897758,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397617_314397618_0,314397617,314397618,0,-23.8899579,29.4816899,-23.8902257,29.4827879,115.53526525711528,30.0,13.864231830853834,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397617_314397645_0,314397617,314397645,0,-23.8899579,29.4816899,-23.8890021,29.4819444,109.47367856083727,30.0,13.136841427300473,Colleen Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397617_314397616_0,314397617,314397616,0,-23.8899579,29.4816899,-23.8897126,29.4805951,114.6101031581465,30.0,13.75321237897758,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397618_314397617_0,314397618,314397617,0,-23.8902257,29.4827879,-23.8899579,29.4816899,115.53526525711528,30.0,13.864231830853834,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397618_314397605_0,314397618,314397605,0,-23.8902257,29.4827879,-23.8911559,29.4825274,106.78376706727636,30.0,12.814052048073162,Kort Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397618_314397635_0,314397618,314397635,0,-23.8902257,29.4827879,-23.8899156,29.4860788,404.2472949762743,30.0,48.50967539715292,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397630_314397631_0,314397630,314397631,0,-23.8862225,29.4877787,-23.8861345,29.487832,11.185526132789814,30.0,1.3422631359347776,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397630_1215752547_0,314397630,1215752547,0,-23.8862225,29.4877787,-23.8857487,29.4870239,93.0855295360668,60.0,5.585131772164008,De Wet Drive,tertiary,True,2,unclassified,no,no,yes,False,1.0,,
314397630_1215751804_0,314397630,1215751804,0,-23.8862225,29.4877787,-23.8876495,29.4871468,171.3764849357398,30.0,20.565178192288776,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397631_1213297820_0,314397631,1213297820,0,-23.8861345,29.487832,-23.8865435,29.4885262,83.96359686941742,60.0,5.037815812165045,De Wet Drive,tertiary,True,2,unclassified,no,no,yes,False,1.0,,
314397631_314397630_0,314397631,314397630,0,-23.8861345,29.487832,-23.8862225,29.4877787,11.185526132789814,30.0,1.3422631359347776,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397635_314397644_0,314397635,314397644,0,-23.8899156,29.4860788,-23.8894375,29.4840173,216.32212071996395,30.0,25.958654486395677,Gary Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397635_1215751804_0,314397635,1215751804,0,-23.8899156,29.4860788,-23.8876495,29.4871468,274.41208392271426,30.0,32.929450070725714,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397635_314397618_0,314397635,314397618,0,-23.8899156,29.4860788,-23.8902257,29.4827879,404.24729497627436,30.0,48.509675397152925,Schalk Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397644_314397645_0,314397644,314397645,0,-23.8894375,29.4840173,-23.8890021,29.4819444,216.23919318338244,30.0,25.948703182005893,Gary Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397644_314397635_0,314397644,314397635,0,-23.8894375,29.4840173,-23.8899156,29.4860788,216.32212071996392,30.0,25.958654486395673,Gary Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397644_314397837_0,314397644,314397837,0,-23.8894375,29.4840173,-23.888541,29.4842457,102.3605542656063,30.0,12.283266511872755,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397645_314397644_0,314397645,314397644,0,-23.8890021,29.4819444,-23.8894375,29.4840173,216.23919318338244,30.0,25.948703182005893,Gary Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397645_314397837_0,314397645,314397837,0,-23.8890021,29.4819444,-23.888541,29.4842457,314.02865621620924,30.0,37.68343874594511,Colleen Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397645_314397617_0,314397645,314397617,0,-23.8890021,29.4819444,-23.8899579,29.4816899,109.47367856083727,30.0,13.136841427300473,Colleen Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397652_314397695_0,314397652,314397695,0,-23.8871408,29.484765,-23.8850951,29.4859543,258.6442540101112,30.0,31.037310481213346,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397652_314397837_0,314397652,314397837,0,-23.8871408,29.484765,-23.888541,29.4842457,164.84035963500713,30.0,19.780843156200856,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397652_314397825_0,314397652,314397825,0,-23.8871408,29.484765,-23.8867206,29.4825132,255.20822361208297,30.0,30.624986833449956,Buys Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397695_314397780_0,314397695,314397780,0,-23.8850951,29.4859543,-23.8850179,29.4860133,10.47251219466886,30.0,1.2567014633602633,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397695_314397652_0,314397695,314397652,0,-23.8850951,29.4859543,-23.8871408,29.484765,258.6442540101111,30.0,31.03731048121334,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397695_305233689_0,314397695,305233689,0,-23.8850951,29.4859543,-23.8844196,29.4849348,128.61352108212378,60.0,7.716811264927427,De Wet Drive,tertiary,True,2,unclassified,no,no,yes,False,1.0,,
314397780_314397695_0,314397780,314397695,0,-23.8850179,29.4860133,-23.8850951,29.4859543,10.47251219466886,30.0,1.2567014633602633,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397780_1215751840_0,314397780,1215751840,0,-23.8850179,29.4860133,-23.885663,29.4870863,130.56612360049928,60.0,7.8339674160299575,De Wet Drive,tertiary,True,2,unclassified,no,no,yes,False,1.0,,
314397825_5991541348_0,314397825,5991541348,0,-23.8867206,29.4825132,-23.8865025,29.4823526,29.236248173992834,30.0,3.50834978087914,Buys Street,residential,False,1,unclassified,no,no,yes,True,0.01,,
314397825_305233689_0,314397825,305233689,0,-23.8867206,29.4825132,-23.8844196,29.4849348,366.48093731579024,30.0,43.977712477894826,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397825_314397916_0,314397825,314397916,0,-23.8867206,29.4825132,-23.8877941,29.4804536,243.35189822069202,30.0,29.202227786483043,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397825_314397652_0,314397825,314397652,0,-23.8867206,29.4825132,-23.8871408,29.484765,255.20822361208295,30.0,30.624986833449956,Buys Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397837_314397652_0,314397837,314397652,0,-23.888541,29.4842457,-23.8871408,29.484765,164.84035963500713,30.0,19.780843156200856,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397837_314397644_0,314397837,314397644,0,-23.888541,29.4842457,-23.8894375,29.4840173,102.3605542656063,30.0,12.283266511872755,Morris Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397837_314397645_0,314397837,314397645,0,-23.888541,29.4842457,-23.8890021,29.4819444,314.02865621620924,30.0,37.68343874594511,Colleen Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397916_1213031223_0,314397916,1213031223,0,-23.8877941,29.4804536,-23.8882317,29.479863,77.28681218618935,30.0,9.274417462342722,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397916_314397616_0,314397916,314397616,0,-23.8877941,29.4804536,-23.8897126,29.4805951,237.65840577119542,30.0,28.51900869254345,Greef Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397916_314397825_0,314397916,314397825,0,-23.8877941,29.4804536,-23.8867206,29.4825132,243.35189822069196,30.0,29.202227786483036,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397926_314398490_0,314397926,314398490,0,-23.8793968,29.473124,-23.8798111,29.4721482,109.38961138410451,60.0,6.563376683046271,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397926_306400275_0,314397926,306400275,0,-23.8793968,29.473124,-23.8831761,29.4740326,430.2885383822329,30.0,51.63462460586795,Hillary Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397926_7220896628_0,314397926,7220896628,0,-23.8793968,29.473124,-23.8790469,29.4739708,94.4828379479636,60.0,5.668970276877816,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314397930_305352940_0,314397930,305352940,0,-23.8951307,29.4738102,-23.8961264,29.4746566,140.2232792432396,30.0,16.826793509188754,General Maritz Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397930_314397982_0,314397930,314397982,0,-23.8951307,29.4738102,-23.8958805,29.4723849,168.04406555905098,30.0,20.165287867086118,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397930_1318504954_0,314397930,1318504954,0,-23.8951307,29.4738102,-23.8941562,29.4729781,137.47433056847575,30.0,16.49691966821709,General Maritz Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397982_314398008_0,314397982,314398008,0,-23.8958805,29.4723849,-23.896544,29.4709706,161.60648162265048,30.0,19.392777794718057,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397982_314397930_0,314397982,314397930,0,-23.8958805,29.4723849,-23.8951307,29.4738102,168.04406555905095,30.0,20.165287867086114,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314397982_314398062_0,314397982,314398062,0,-23.8958805,29.4723849,-23.8943039,29.4727667,185.9502624164714,30.0,22.314031489976568,Ben Fleur Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398008_314397982_0,314398008,314397982,0,-23.896544,29.4709706,-23.8958805,29.4723849,161.60648162265048,30.0,19.392777794718057,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398008_314398033_0,314398008,314398033,0,-23.896544,29.4709706,-23.8971634,29.4686949,275.70614356110923,30.0,33.08473722733311,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398008_314398054_0,314398008,314398054,0,-23.896544,29.4709706,-23.898113,29.4694988,290.21351733955686,30.0,34.825622080746825,Kathleen Road,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398033_332092790_0,314398033,332092790,0,-23.8971634,29.4686949,-23.8966097,29.4682201,78.2346486277077,60.0,4.694078917662462,Potgieter Avenue,tertiary,False,4,unclassified,no,no,yes,False,1.0,,
314398033_314398054_0,314398033,314398054,0,-23.8971634,29.4686949,-23.898113,29.4694988,133.53402067914962,60.0,8.012041240748978,Potgieter Avenue,tertiary,False,4,unclassified,no,no,yes,False,1.0,,
314398033_314398008_0,314398033,314398008,0,-23.8971634,29.4686949,-23.896544,29.4709706,275.70614356110923,30.0,33.08473722733311,Arnotha Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398054_314398033_0,314398054,314398033,0,-23.898113,29.4694988,-23.8971634,29.4686949,133.53402067914962,60.0,8.012041240748978,Potgieter Avenue,tertiary,False,4,unclassified,no,no,yes,False,1.0,,
314398054_305352810_0,314398054,305352810,0,-23.898113,29.4694988,-23.8987727,29.4700474,92.15014030847841,60.0,5.529008418508705,Potgieter Avenue,tertiary,False,4,unclassified,no,no,yes,False,1.0,,
314398054_314398008_0,314398054,314398008,0,-23.898113,29.4694988,-23.896544,29.4709706,290.21351733955686,30.0,34.825622080746825,Kathleen Road,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398062_314397982_0,314398062,314397982,0,-23.8943039,29.4727667,-23.8958805,29.4723849,185.95026241647136,30.0,22.314031489976564,Ben Fleur Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398062_2270411371_0,314398062,2270411371,0,-23.8943039,29.4727667,-23.8948993,29.4704215,274.68926555626217,30.0,32.96271186675146,General Muller Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398062_1318504954_0,314398062,1318504954,0,-23.8943039,29.4727667,-23.8941562,29.4729781,27.057695200338365,30.0,3.2469234240406037,General Muller Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398063_314397605_0,314398063,314397605,0,-23.8915703,29.4844059,-23.8911559,29.4825274,196.462349417442,30.0,23.57548193009304,Lottering Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398063_314397585_0,314398063,314397585,0,-23.8915703,29.4844059,-23.8925071,29.485635,168.1193434088314,30.0,20.17432120905977,Lottering Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398063_314398145_0,314398063,314398145,0,-23.8915703,29.4844059,-23.8926991,29.4837305,151.65288718915554,30.0,18.198346462698666,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398127_1213297683_0,314398127,1213297683,0,-23.8937277,29.4822318,-23.8920699,29.4809043,228.4636241657497,30.0,27.415634899889962,Meteor Avenue,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398127_305234564_0,314398127,305234564,0,-23.8937277,29.4822318,-23.8945496,29.4828591,111.443043405478,30.0,13.373165208657358,Meteor Avenue,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398127_314398362_0,314398127,314398362,0,-23.8937277,29.4822318,-23.893167,29.483056,104.47027936484784,30.0,12.536433523781742,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398145_314398362_0,314398145,314398362,0,-23.8926991,29.4837305,-23.893167,29.483056,86.07726454064829,30.0,10.329271744877795,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398145_314398362_1,314398145,314398362,1,-23.8926991,29.4837305,-23.893167,29.483056,290.51665110737895,30.0,34.861998132885475,Die Sirkel,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398145_314398063_0,314398145,314398063,0,-23.8926991,29.4837305,-23.8915703,29.4844059,151.65288718915554,30.0,18.198346462698666,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398362_314398145_0,314398362,314398145,0,-23.893167,29.483056,-23.8926991,29.4837305,86.07726454064829,30.0,10.329271744877795,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398362_314398145_1,314398362,314398145,1,-23.893167,29.483056,-23.8926991,29.4837305,290.5166511073789,30.0,34.86199813288547,Die Sirkel,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398362_314398127_0,314398362,314398127,0,-23.893167,29.483056,-23.8937277,29.4822318,104.47027936484784,30.0,12.536433523781742,Welsford Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398374_314397610_0,314398374,314397610,0,-23.8894044,29.4783334,-23.8890024,29.478856,69.4345908545096,30.0,8.332150902541152,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398374_1323343811_0,314398374,1323343811,0,-23.8894044,29.4783334,-23.8895991,29.4780912,32.78809456875888,30.0,3.9345713482510654,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398374_314398415_0,314398374,314398415,0,-23.8894044,29.4783334,-23.8897692,29.4778667,207.0270388979953,30.0,24.84324466775944,Hyde Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398415_1323343811_0,314398415,1323343811,0,-23.8897692,29.4778667,-23.8895991,29.4780912,29.643095058853994,30.0,3.5571714070624796,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,True,0.01,,
314398415_314398374_0,314398415,314398374,0,-23.8897692,29.4778667,-23.8894044,29.4783334,207.02703889799534,30.0,24.843244667759443,Hyde Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398415_1323343990_0,314398415,1323343990,0,-23.8897692,29.4778667,-23.8904068,29.4770312,110.64523124646097,30.0,13.277427749575315,Outspan Drive,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398423_3930063424_0,314398423,3930063424,0,-23.8910353,29.4760956,-23.8911407,29.476162,14.5032074709969,40.0,1.305288672389721,unamed,tertiary,True,1,unclassified,no,no,yes,False,1.0,,
314398423_304522315_0,314398423,304522315,0,-23.8910353,29.4760956,-23.8909538,29.4763127,23.923336591606184,40.0,2.1531002932445564,Outspan Drive,tertiary,True,1,unclassified,no,no,yes,False,1.0,,
314398426_5991449497_0,314398426,5991449497,0,-23.8917036,29.4763579,-23.8913176,29.4762503,45.66237986393993,30.0,5.479485583672791,Hillary Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398428_314398464_0,314398428,314398464,0,-23.8842546,29.4742944,-23.8839662,29.4734847,99.35986664490596,30.0,11.923183997388715,Chapman Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398428_3732241475_0,314398428,3732241475,0,-23.8842546,29.4742944,-23.8850608,29.4744968,91.9858861725803,30.0,11.038306340709637,Hillary Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398428_306400275_0,314398428,306400275,0,-23.8842546,29.4742944,-23.8831761,29.4740326,122.84750390193419,30.0,14.741700468232104,Hillary Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398464_314398428_0,314398464,314398428,0,-23.8839662,29.4734847,-23.8842546,29.4742944,99.35986664490595,30.0,11.923183997388714,Chapman Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398468_1106843193_0,314398468,1106843193,0,-23.8834863,29.4726727,-23.8833402,29.4733251,68.29226355466878,30.0,8.195071626560253,General de la Rey Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398468_1106843693_0,314398468,1106843693,0,-23.8834863,29.4726727,-23.8835973,29.4721086,58.66705786664688,30.0,7.040046943997626,General de la Rey Street,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398468_314398489_0,314398468,314398489,0,-23.8834863,29.4726727,-23.884788,29.4734403,170.3977174103244,30.0,20.447726089238927,Challoner Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398489_314398468_0,314398489,314398468,0,-23.884788,29.4734403,-23.8834863,29.4726727,170.3977174103244,30.0,20.447726089238927,Challoner Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398490_314398493_0,314398490,314398493,0,-23.8798111,29.4721482,-23.880026,29.4716228,58.52167245501529,60.0,3.5113003473009177,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398490_314397926_0,314398490,314397926,0,-23.8798111,29.4721482,-23.8793968,29.473124,109.38961138410451,60.0,6.563376683046271,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398490_314398492_0,314398490,314398492,0,-23.8798111,29.4721482,-23.8811718,29.4728456,167.11372357442008,30.0,20.05364682893041,Keswick Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398492_314398490_0,314398492,314398490,0,-23.8811718,29.4728456,-23.8798111,29.4721482,167.11372357442008,30.0,20.05364682893041,Keswick Close,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398493_314398490_0,314398493,314398490,0,-23.880026,29.4716228,-23.8798111,29.4721482,58.52167245501529,60.0,3.5113003473009177,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398493_304522333_0,314398493,304522333,0,-23.880026,29.4716228,-23.8801775,29.4713063,36.373353720504866,60.0,2.182401223230292,Diemeer Street,tertiary,False,2,unclassified,no,no,yes,False,1.0,,
314398493_314398500_0,314398493,314398500,0,-23.880026,29.4716228,-23.8812899,29.472096,151.32479173365937,30.0,18.158975008039125,Derwent Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314398500_314398493_0,314398500,314398493,0,-23.8812899,29.472096,-23.880026,29.4716228,151.32479173365937,30.0,18.158975008039125,Derwent Drive,residential,False,1,unclassified,no,no,yes,False,1.0,,
314407270_314407513_0,314407270,314407513,0,-23.920195,29.4551986,-23.9251427,29.4524454,653.0374750882482,30.0,78.3644970105898,Pafuri Avenue,residential,False,1,unclassified,no,no,yes,False,1.0,,
